millis,stamp,datetime,soil_moisture
8645998, 1566592305, 2019/8/23 20:31:45, 697
8675999, 1566592335, 2019/8/23 20:32:15, 698
8705999, 1566592365, 2019/8/23 20:32:45, 697
8735998, 1566592395, 2019/8/23 20:33:15, 698
8766000, 1566592425, 2019/8/23 20:33:45, 697
8795999, 1566592455, 2019/8/23 20:34:15, 697
8826000, 1566592485, 2019/8/23 20:34:45, 698
8839999, 1566592500, 2019/8/23 20:35:0, 697
8869999, 1566592530, 2019/8/23 20:35:30, 698
8915000, 1566592575, 2019/8/23 20:36:15, 697
8944999, 1566592605, 2019/8/23 20:36:45, 698
8974999, 1566592635, 2019/8/23 20:37:15, 698
9004999, 1566592665, 2019/8/23 20:37:45, 696
9050000, 1566592710, 2019/8/23 20:38:30, 697
9079998, 1566592740, 2019/8/23 20:39:0, 697
9109999, 1566592770, 2019/8/23 20:39:30, 696
9139999, 1566592800, 2019/8/23 20:40:0, 698
9169998, 1566592830, 2019/8/23 20:40:30, 697
9200000, 1566592860, 2019/8/23 20:41:0, 697
9230000, 1566592890, 2019/8/23 20:41:30, 698
9259999, 1566592920, 2019/8/23 20:42:0, 696
9290000, 1566592950, 2019/8/23 20:42:30, 697
9319998, 1566592980, 2019/8/23 20:43:0, 697
9349999, 1566593010, 2019/8/23 20:43:30, 697
9379999, 1566593040, 2019/8/23 20:44:0, 697
9409998, 1566593070, 2019/8/23 20:44:30, 697
9440000, 1566593100, 2019/8/23 20:45:0, 698
9470000, 1566593130, 2019/8/23 20:45:30, 698
9500000, 1566593160, 2019/8/23 20:46:0, 697
9530000, 1566593190, 2019/8/23 20:46:30, 697
9559998, 1566593220, 2019/8/23 20:47:0, 697
9574999, 1566593235, 2019/8/23 20:47:15, 697
9605000, 1566593265, 2019/8/23 20:47:45, 697
9634999, 1566593295, 2019/8/23 20:48:15, 698
9664999, 1566593325, 2019/8/23 20:48:45, 698
9694999, 1566593355, 2019/8/23 20:49:15, 697
9724999, 1566593385, 2019/8/23 20:49:45, 698
9754999, 1566593415, 2019/8/23 20:50:15, 697
9784998, 1566593445, 2019/8/23 20:50:45, 697
9815000, 1566593475, 2019/8/23 20:51:15, 697
9845000, 1566593505, 2019/8/23 20:51:45, 697
9875000, 1566593535, 2019/8/23 20:52:15, 697
9904999, 1566593565, 2019/8/23 20:52:45, 698
9934998, 1566593595, 2019/8/23 20:53:15, 697
9980000, 1566593640, 2019/8/23 20:54:0, 697
10009999, 1566593670, 2019/8/23 20:54:30, 697
10039999, 1566593700, 2019/8/23 20:55:0, 696
10069999, 1566593730, 2019/8/23 20:55:30, 697
10099999, 1566593760, 2019/8/23 20:56:0, 696
10129999, 1566593790, 2019/8/23 20:56:30, 697
10160000, 1566593820, 2019/8/23 20:57:0, 696
10174999, 1566593835, 2019/8/23 20:57:15, 696
10204999, 1566593865, 2019/8/23 20:57:45, 697
10234999, 1566593895, 2019/8/23 20:58:15, 697
10264999, 1566593925, 2019/8/23 20:58:45, 695
10295000, 1566593955, 2019/8/23 20:59:15, 696
10325000, 1566593985, 2019/8/23 20:59:45, 695
10355000, 1566594015, 2019/8/23 21:0:15, 696
10384999, 1566594045, 2019/8/23 21:0:45, 697
10414998, 1566594075, 2019/8/23 21:1:15, 696
10444999, 1566594105, 2019/8/23 21:1:45, 696
10474999, 1566594135, 2019/8/23 21:2:15, 696
10504999, 1566594165, 2019/8/23 21:2:45, 696
10534999, 1566594195, 2019/8/23 21:3:15, 696
10565000, 1566594225, 2019/8/23 21:3:45, 696
10595000, 1566594255, 2019/8/23 21:4:15, 695
10638999, 1566594300, 2019/8/23 21:5:0, 739
10653999, 1566594315, 2019/8/23 21:5:15, 701
10668999, 1566594330, 2019/8/23 21:5:30, 690
10698999, 1566594360, 2019/8/23 21:6:0, 678
10728999, 1566594390, 2019/8/23 21:6:30, 661
